,u,i,ts,label,idx
0,22,144,0.0,1,18814
1,22,87,507.0,1,18815
2,123,156,20915.0,1,3326
3,127,159,21725.0,1,42217
4,54,69,24546.0,1,16794
5,69,54,24801.0,1,16796
6,69,41,24801.0,1,16795
7,154,117,24892.0,1,2
8,154,139,24892.0,1,3
9,154,71,24892.0,1,4
10,154,155,24892.0,1,1
11,126,137,26648.0,1,5
12,64,158,27067.0,1,18816
13,61,74,27201.0,1,18817
14,129,78,27212.0,1,3327
15,69,54,27317.0,1,16797
16,129,48,28135.0,1,3328
17,21,147,28156.0,1,10665
18,87,22,28173.0,1,18818
19,87,144,28173.0,1,18819
20,121,129,28580.0,1,3329
21,36,3,30620.0,1,18821
22,36,28,30620.0,1,18820
23,36,134,30620.0,1,18822
24,36,22,30620.0,1,18823
25,8,76,30790.0,1,10666
26,52,127,30853.0,1,42218
27,64,138,31331.0,1,18824
28,64,158,31331.0,1,18825
29,64,138,31455.0,1,18826
30,32,48,32226.0,1,3330
31,87,22,32369.0,1,18827
32,155,154,32583.0,1,6
33,139,154,32844.0,1,7
34,132,25,33198.0,1,10670
35,132,146,33198.0,1,10668
36,132,33,33198.0,1,10669
37,132,8,33198.0,1,10667
38,132,11,33295.0,1,10683
39,132,143,33295.0,1,10681
40,132,47,33295.0,1,10679
41,132,25,33295.0,1,10680
42,132,33,33295.0,1,10678
43,132,147,33295.0,1,10671
44,132,76,33295.0,1,10674
45,132,40,33295.0,1,10682
46,132,67,33295.0,1,10684
47,132,8,33295.0,1,10673
48,132,120,33295.0,1,10672
49,132,65,33295.0,1,10677
50,132,42,33295.0,1,10676
51,132,146,33295.0,1,10675
52,154,139,33872.0,1,8
53,87,22,34912.0,1,18828
54,87,22,35351.0,1,18829
55,82,123,35490.0,1,3331
56,156,123,35752.0,1,3339
57,156,6,35752.0,1,3334
58,156,14,35752.0,1,3335
59,156,129,35752.0,1,3332
60,156,48,35752.0,1,3333
61,156,32,35752.0,1,3338
62,156,121,35752.0,1,3337
63,156,56,35752.0,1,3336
64,87,22,36622.0,1,18830
65,105,52,36661.0,1,42219
66,53,61,38056.0,1,18831
67,141,34,38500.0,1,16798
68,34,141,38788.0,1,16799
69,111,34,38840.0,1,16800
70,34,111,39057.0,1,16801
71,53,22,39432.0,1,18832
72,64,158,39495.0,1,18833
73,25,33,39563.0,1,10687
74,25,11,39563.0,1,10688
75,25,67,39563.0,1,10689
76,25,42,39563.0,1,10686
77,25,8,39563.0,1,10685
78,53,22,39912.0,1,18834
79,25,12,40142.0,1,10690
80,132,33,40180.0,1,10691
81,132,11,40180.0,1,10692
82,132,8,40421.0,1,10693
83,132,11,40421.0,1,10695
84,132,33,40421.0,1,10694
85,31,123,40616.0,1,3340
86,8,25,41466.0,1,10696
87,8,25,41678.0,1,10697
88,129,156,41834.0,1,3341
89,145,62,41984.0,1,3342
90,138,92,42284.0,1,18835
91,162,160,42546.0,1,9
92,162,136,42546.0,1,10
93,3,134,43294.0,1,18836
94,59,61,43342.0,1,18837
95,59,61,43387.0,1,18838
96,67,25,43853.0,1,10698
97,59,61,43886.0,1,18839
98,62,145,44026.0,1,3343
99,67,25,44620.0,1,10699
100,54,34,45404.0,1,16802
101,51,111,46271.0,1,16803
102,51,41,46271.0,1,16804
103,51,94,46271.0,1,16808
104,51,54,46271.0,1,16806
105,51,69,46271.0,1,16805
106,51,141,46271.0,1,16807
107,25,67,46572.0,1,10700
108,134,3,46976.0,1,18840
109,134,3,47151.0,1,18841
110,42,25,47166.0,1,10701
111,162,113,47201.0,1,11
112,3,134,47676.0,1,18842
113,127,52,47810.0,1,42220
114,127,159,47985.0,1,42221
115,59,61,48454.0,1,18843
116,22,87,49343.0,1,18844
117,159,127,50267.0,1,42222
118,22,87,50383.0,1,18845
119,22,87,51767.0,1,18846
120,87,59,54069.0,1,18847
121,87,59,54088.0,1,18848
122,87,59,54238.0,1,18849
123,87,59,54257.0,1,18851
124,87,72,54257.0,1,18850
125,87,59,54261.0,1,18852
126,72,87,54507.0,1,18853
127,22,134,55161.0,1,18854
128,22,148,55392.0,1,18855
129,22,87,56291.0,1,18856
130,121,32,56372.0,1,3344
131,148,22,56523.0,1,18857
132,148,59,56569.0,1,18858
133,10,22,58742.0,1,18860
134,10,87,58742.0,1,18859
135,59,144,60212.0,1,18861
136,92,61,61078.0,1,18862
137,22,87,61998.0,1,18863
138,22,10,61998.0,1,18865
139,22,144,61998.0,1,18864
140,144,59,64067.0,1,18866
141,87,22,64446.0,1,18867
142,144,59,64935.0,1,18868
143,59,144,65942.0,1,18869
144,134,22,74973.0,1,18870
145,22,134,77190.0,1,18871
146,69,54,107751.0,1,16810
147,69,41,107751.0,1,16809
148,32,121,108940.0,1,3345
149,121,32,110206.0,1,3346
150,59,61,113311.0,1,18872
151,133,35,113777.0,1,3347
152,74,61,114717.0,1,18873
153,53,22,116050.0,1,18874
154,61,92,116205.0,1,18875
