,u,i,ts,label,idx
0,253,73,0.0,1,7062
1,88,271,21799.0,1,7063
2,154,240,24076.0,1,41510
3,116,77,24710.0,1,46397
4,296,221,25991.0,1,7064
5,264,266,26272.0,1,26630
6,264,224,26402.0,1,26631
7,264,224,26484.0,1,26632
8,154,240,27119.0,1,41511
9,154,63,27492.0,1,41513
10,154,240,27492.0,1,41512
11,177,258,27718.0,1,46398
12,177,258,27822.0,1,46399
13,240,154,28102.0,1,41514
14,88,97,28632.0,1,7065
15,145,270,30281.0,1,1
16,300,177,30392.0,1,46400
17,170,216,30899.0,1,2
18,82,219,31471.0,1,27030
19,68,215,32305.0,1,3
20,29,275,32748.0,1,4
21,38,222,32901.0,1,46401
22,269,8,32914.0,1,27031
23,27,216,33383.0,1,5
24,154,99,33424.0,1,41515
25,154,63,33424.0,1,41519
26,154,240,33424.0,1,41516
27,154,60,33424.0,1,41517
28,154,307,33424.0,1,41518
29,154,240,33645.0,1,41521
30,154,99,33645.0,1,41520
31,154,63,33645.0,1,41525
32,154,307,33645.0,1,41524
33,154,60,33645.0,1,41523
34,154,153,33645.0,1,41522
35,154,240,33901.0,1,41526
36,154,240,34502.0,1,41527
37,154,240,34531.0,1,41528
38,19,29,34566.0,1,6
39,221,88,35388.0,1,7079
40,221,86,35388.0,1,7070
41,221,16,35388.0,1,7080
42,221,73,35388.0,1,7066
43,221,265,35388.0,1,7069
44,221,176,35388.0,1,7071
45,221,271,35388.0,1,7074
46,221,163,35388.0,1,7068
47,221,144,35388.0,1,7067
48,221,81,35388.0,1,7073
49,221,137,35388.0,1,7077
50,221,255,35388.0,1,7076
51,221,24,35388.0,1,7075
52,221,33,35388.0,1,7072
53,221,32,35388.0,1,7078
54,95,221,36473.0,1,7081
55,177,285,36838.0,1,46402
56,33,221,37321.0,1,7082
57,88,144,37417.0,1,7083
58,8,138,37684.0,1,27032
59,269,114,38297.0,1,27033
60,269,114,38339.0,1,27034
61,269,114,38372.0,1,27035
62,269,114,38405.0,1,27036
63,269,114,38433.0,1,27037
64,269,114,38503.0,1,27038
65,269,114,38530.0,1,27039
